TID,KEY,TIME,I,WND,PRED_WND
2121,2011-03,2011050912,2,18,24.978990109107883
2121,2011-03,2011050918,2,18,24.765097475849984
2121,2011-03,2011051000,2,18,24.01325198445869
2121,2011-03,2011051006,2,18,19.249046991736975
2121,2011-03,2011051012,2,18,16.669550031825736
2121,2011-03,2011051018,2,18,17.826751316688785
2121,2011-03,2011051100,2,18,17.724700518696807
2121,2011-03,2011051106,2,18,17.891992801453455
2121,2011-03,2011051112,2,18,16.400899132384666
2121,2011-03,2011051118,2,18,16.325857838750437
2121,2011-03,2011051200,1,16,15.420197788984865
2121,2011-03,2011051206,1,16,15.270016906412536
2121,2011-03,2011051212,1,16,14.509158989361254
2121,2011-03,2011051218,9,16,14.432318657411429
2121,2011-03,2011051300,9,20,11.955001226967681
2121,2011-03,2011051306,9,20,13.018378071804818
2121,2011-03,2011051312,9,20,12.903037606074179
2122,2011-04,2011052118,2,18,23.44805168815452
2122,2011-04,2011052200,2,20,23.16217483837329
2122,2011-04,2011052206,2,23,22.73522710242412
2122,2011-04,2011052212,3,25,23.003146986513002
2122,2011-04,2011052218,3,25,27.375990199172236
2122,2011-04,2011052300,3,28,29.166180895647585
2122,2011-04,2011052306,3,28,31.91585258240565
2122,2011-04,2011052312,3,28,32.965906056929214
2122,2011-04,2011052318,3,28,30.589470492466035
2122,2011-04,2011052400,3,28,33.92044032344705
2122,2011-04,2011052406,3,30,32.33811012178944
2122,2011-04,2011052412,4,33,31.350113221498248
2122,2011-04,2011052418,4,35,31.33867663039564
2122,2011-04,2011052500,4,40,30.853492818738857
2122,2011-04,2011052506,5,45,33.50300022180784
2122,2011-04,2011052512,5,45,36.98093289669873
2122,2011-04,2011052518,5,50,37.890351135191565
2122,2011-04,2011052600,5,50,44.00397827907193
2122,2011-04,2011052606,6,60,48.57846732153763
2122,2011-04,2011052612,6,65,44.439517865940104
2122,2011-04,2011052618,6,65,50.03300879513881
2122,2011-04,2011052700,6,60,46.54778540158401
2122,2011-04,2011052706,6,55,59.60416012559466
2122,2011-04,2011052712,6,55,62.47790891412927
2122,2011-04,2011052718,5,48,57.01104413773095
2122,2011-04,2011052800,5,45,47.53332543555729
2122,2011-04,2011052806,4,40,40.175284536770164
2122,2011-04,2011052812,4,40,42.65736993879693
2122,2011-04,2011052818,4,35,32.800674367676436
2122,2011-04,2011052900,3,30,30.925402832329553
2122,2011-04,2011052906,9,25,25.92097093459995
2122,2011-04,2011052912,9,23,28.403688443409806
2122,2011-04,2011052918,9,23,21.312141658563007
2122,2011-04,2011053000,9,23,17.412161094098337
2122,2011-04,2011053006,9,23,13.626605992105112
2122,2011-04,2011053012,9,25,14.773618197342387
2122,2011-04,2011053018,9,25,19.86874605046421
2122,2011-04,2011053100,9,25,18.770696094692482
2125,2011-07,2011061818,1,15,21.211343006055642
2125,2011-07,2011061900,1,15,19.71904292848069
2125,2011-07,2011061906,1,15,19.333919769050567
2125,2011-07,2011061912,1,15,18.996685924176006
2125,2011-07,2011061918,1,15,18.984246272689518
2125,2011-07,2011062000,1,16,18.81836255097369
2125,2011-07,2011062006,1,16,18.23729970587908
2125,2011-07,2011062012,1,16,17.451109572526207
2125,2011-07,2011062018,1,16,16.92879323545077
2125,2011-07,2011062100,1,16,18.107626455379204
2125,2011-07,2011062106,2,18,17.529209991571918
2125,2011-07,2011062112,2,18,17.0895157881871
2125,2011-07,2011062118,2,20,17.477351764266587
2125,2011-07,2011062200,2,20,17.613203686807765
2125,2011-07,2011062206,2,20,20.98137042469085
2125,2011-07,2011062212,2,20,19.958312064461268
2125,2011-07,2011062218,2,20,22.266827315298997
2125,2011-07,2011062300,2,20,20.289962251821862
2125,2011-07,2011062306,2,20,18.711654444301757
2125,2011-07,2011062312,2,18,18.238682328937614
2125,2011-07,2011062318,2,18,18.563066734063682
2125,2011-07,2011062400,2,20,17.999703265953883
2125,2011-07,2011062406,2,20,17.543920468601982
2125,2011-07,2011062412,2,20,14.11862527688993
2125,2011-07,2011062418,1,16,15.025179122536827
2125,2011-07,2011062500,1,12,18.23954753756368
2125,2011-07,2011062506,1,12,16.99418110410801
2125,2011-07,2011062512,0,9,15.680863915170164
2126,2011-08,2011062218,2,23,21.29071443955769
2126,2011-08,2011062300,3,25,25.3256564483911
2126,2011-08,2011062306,3,25,24.4217521278984
2126,2011-08,2011062312,3,25,26.086451722126185
2126,2011-08,2011062318,3,25,29.992542390902486
2126,2011-08,2011062400,3,28,29.46263527438117
2126,2011-08,2011062406,3,28,27.444920685965997
2126,2011-08,2011062412,3,30,25.635665715439302
2126,2011-08,2011062418,3,30,24.90428601893541
2126,2011-08,2011062500,3,30,28.177601334702615
2126,2011-08,2011062506,3,30,26.742172971749767
2126,2011-08,2011062512,3,28,27.195453324783216
2126,2011-08,2011062518,3,28,26.63998087548771
2126,2011-08,2011062600,3,28,25.343636820470294
2126,2011-08,2011062606,3,25,25.34792542980722
2126,2011-08,2011062612,2,23,20.431547800128556
2126,2011-08,2011062618,2,23,19.04587291812652
2126,2011-08,2011062700,1,16,17.577031905576405
2126,2011-08,2011062706,9,12,14.240374374689566
2127,2011-09,2011071312,3,30,28.821017163747854
2127,2011-09,2011071318,4,33,32.624709237773175
2127,2011-09,2011071400,4,35,37.74466390916348
2127,2011-09,2011071406,4,38,37.34116687308938
2127,2011-09,2011071412,5,42,34.841209730136484
2127,2011-09,2011071418,5,45,38.22448060752555
2127,2011-09,2011071500,5,48,39.831977007451314
2127,2011-09,2011071506,5,48,42.21571738612221
2127,2011-09,2011071512,5,48,46.48037783189034
2127,2011-09,2011071518,5,50,47.70187434833872
2127,2011-09,2011071600,5,50,49.77459642393791
2127,2011-09,2011071606,6,55,47.1727655530683
2127,2011-09,2011071612,6,55,45.850204870280606
2127,2011-09,2011071618,6,55,48.82073860098035
2127,2011-09,2011071700,6,55,47.53403856726129
2127,2011-09,2011071706,5,50,54.06344659651472
2127,2011-09,2011071712,5,50,50.99726018759583
2127,2011-09,2011071718,5,48,49.02626938644215
2127,2011-09,2011071800,5,45,48.530127437245255
2127,2011-09,2011071806,5,45,39.75197152408532
2127,2011-09,2011071812,5,45,42.36495655075862
2127,2011-09,2011071818,5,45,40.02841771547139
2127,2011-09,2011071900,5,42,35.67238602561156
2127,2011-09,2011071906,4,40,35.90660817400311
2127,2011-09,2011071912,4,40,35.85180550641303
2127,2011-09,2011071918,4,33,35.660643710962574
2127,2011-09,2011072000,3,30,30.83510276907697
2127,2011-09,2011072006,3,28,29.39825253846385
2127,2011-09,2011072012,3,25,31.0611413899191
2127,2011-09,2011072018,3,25,22.295635309563977
