TID,KEY,TIME,LAT,LONG,PRED_LAT,PRED_LONG
1929,2003-17,2003092012,29.0,131.9,29.888452529907227,131.86436462402344
1929,2003-17,2003092018,29.5,133.70000000000002,30.05020523071289,134.14382934570312
1929,2003-17,2003092100,30.1,135.70000000000002,30.64791488647461,135.79869079589844
1929,2003-17,2003092106,31.0,137.0,31.235567092895508,138.4009552001953
1929,2003-17,2003092112,32.2,139.0,30.77387809753418,138.97178649902344
1929,2003-17,2003092118,33.2,140.70000000000002,32.35189437866211,140.92019653320312
1929,2003-17,2003092200,34.4,142.8,34.41386795043945,142.99595642089844
1929,2003-17,2003092206,35.9,145.0,36.44449234008789,143.97930908203125
1929,2003-17,2003092212,37.7,147.6,38.25935363769531,147.1764678955078
1929,2003-17,2003092218,39.5,151.20000000000002,39.841041564941406,150.04998779296875
1929,2003-17,2003092300,41.0,156.0,41.311500549316406,153.2185821533203
1929,2003-17,2003092306,43.400000000000006,164.3,42.31639099121094,157.76608276367188
1930,2003-18,2003092600,16.8,136.3,16.959096908569336,135.03321838378906
1930,2003-18,2003092606,18.1,136.8,18.14306640625,136.2219696044922
1930,2003-18,2003092612,19.0,137.5,19.424388885498047,137.67446899414062
1930,2003-18,2003092618,20.400000000000002,138.6,19.364439010620117,137.6230926513672
1930,2003-18,2003092700,21.5,139.20000000000002,20.24202537536621,138.22120666503906
1930,2003-18,2003092706,22.5,139.4,22.963685989379883,139.17202758789062
1930,2003-18,2003092712,23.1,139.5,23.881444931030273,139.509521484375
1930,2003-18,2003092718,24.0,140.0,24.897871017456055,140.17013549804688
1930,2003-18,2003092800,24.700000000000003,140.4,24.648597717285156,139.91778564453125
1930,2003-18,2003092806,25.5,140.6,25.485294342041016,140.53329467773438
1930,2003-18,2003092812,26.1,140.70000000000002,25.94664192199707,140.33404541015625
1930,2003-18,2003092818,26.700000000000003,140.70000000000002,27.537080764770508,141.2826690673828
1930,2003-18,2003092900,27.3,141.20000000000002,27.580326080322266,141.56436157226562
1930,2003-18,2003092906,28.400000000000002,141.9,28.43938636779785,141.0363006591797
1930,2003-18,2003092912,29.5,142.9,29.722244262695312,142.2412567138672
1930,2003-18,2003092918,30.6,144.3,30.777721405029297,144.0535125732422
1930,2003-18,2003093000,32.800000000000004,147.0,32.11794662475586,147.23739624023438
1930,2003-18,2003093006,35.6,150.0,35.32680130004883,149.31907653808594
1930,2003-18,2003093012,40.7,153.1,39.559688568115234,152.98294067382812
1930,2003-18,2003093018,43.2,154.9,42.36771011352539,156.3278045654297
1930,2003-18,2003100100,44.5,156.4,44.92500686645508,157.458251953125
1930,2003-18,2003100106,46.300000000000004,158.3,46.89069366455078,158.6809844970703
1930,2003-18,2003100112,47.1,160.9,48.8282356262207,160.0717010498047
1932,2003-20,2003101906,15.5,130.0,14.342691421508789,130.3594970703125
1932,2003-20,2003101912,15.5,130.1,15.349554061889648,130.61575317382812
1932,2003-20,2003101918,15.5,130.5,15.389494895935059,129.61485290527344
1932,2003-20,2003102000,15.600000000000001,130.70000000000002,15.114492416381836,129.0712890625
1932,2003-20,2003102006,15.700000000000001,130.9,14.775932312011719,129.50665283203125
1932,2003-20,2003102012,15.9,131.1,15.323898315429688,130.36410522460938
1932,2003-20,2003102018,16.1,131.1,15.4561128616333,131.74571228027344
1932,2003-20,2003102100,16.3,131.1,16.163270950317383,131.77500915527344
1932,2003-20,2003102106,16.6,131.20000000000002,16.571943283081055,131.89173889160156
1932,2003-20,2003102112,16.900000000000002,131.20000000000002,17.256685256958008,132.0452423095703
1932,2003-20,2003102118,17.1,131.20000000000002,17.34184455871582,131.71417236328125
1932,2003-20,2003102200,17.400000000000002,131.1,17.689233779907227,131.40518188476562
1932,2003-20,2003102206,17.7,131.20000000000002,17.73324966430664,131.9755859375
1932,2003-20,2003102212,18.1,131.3,18.1785888671875,131.86399841308594
1932,2003-20,2003102218,18.5,131.6,18.4296817779541,131.94659423828125
1932,2003-20,2003102300,18.8,132.0,19.15833854675293,131.64149475097656
1932,2003-20,2003102306,19.200000000000003,132.3,19.23225975036621,131.9876251220703
1932,2003-20,2003102312,19.6,133.0,19.866043090820312,132.31674194335938
1932,2003-20,2003102318,20.0,133.4,20.000030517578125,133.04002380371094
1932,2003-20,2003102400,20.400000000000002,133.5,20.143505096435547,133.89913940429688
1932,2003-20,2003102406,21.0,133.70000000000002,20.6104736328125,134.07542419433594
1932,2003-20,2003102412,21.8,134.1,21.07252311706543,134.51031494140625
1932,2003-20,2003102418,22.900000000000002,134.9,22.087574005126953,134.74224853515625
1932,2003-20,2003102500,24.5,135.70000000000002,23.120908737182617,134.0087890625
1932,2003-20,2003102506,25.900000000000002,137.1,24.96065902709961,135.32540893554688
1932,2003-20,2003102512,27.700000000000003,139.1,26.039480209350586,137.2320556640625
1932,2003-20,2003102518,29.8,141.9,28.86426544189453,141.5740203857422
1932,2003-20,2003102600,32.1,144.5,31.861040115356445,143.79547119140625
1932,2003-20,2003102606,34.4,147.70000000000002,35.73044967651367,150.2334747314453
1932,2003-20,2003102612,35.9,150.1,37.395668029785156,153.71749877929688
1932,2003-20,2003102618,38.2,154.60000000000002,39.307918548583984,156.91656494140625
1933,2003-21,2003102100,21.0,144.4,20.51492691040039,144.21412658691406
1933,2003-21,2003102106,21.5,144.4,21.3126220703125,143.32461547851562
1933,2003-21,2003102112,22.1,145.20000000000002,22.684425354003906,145.1748504638672
1933,2003-21,2003102118,22.200000000000003,146.0,22.46512222290039,145.36354064941406
1933,2003-21,2003102200,22.5,146.5,21.901317596435547,146.16920471191406
1933,2003-21,2003102206,22.900000000000002,146.9,22.590776443481445,145.86729431152344
1933,2003-21,2003102212,23.5,147.20000000000002,23.55903434753418,147.71206665039062
1933,2003-21,2003102218,24.1,147.9,23.628433227539062,148.35379028320312
1933,2003-21,2003102300,24.8,148.8,24.3287410736084,148.3295440673828
1933,2003-21,2003102306,26.1,149.6,25.393972396850586,149.00721740722656
1933,2003-21,2003102312,27.1,150.8,26.334796905517578,149.83709716796875
1933,2003-21,2003102318,28.3,152.3,27.531923294067383,151.98728942871094
1933,2003-21,2003102400,29.1,154.10000000000002,28.548315048217773,153.10202026367188
1933,2003-21,2003102406,30.1,156.20000000000002,30.61678695678711,155.6588897705078
1933,2003-21,2003102412,30.700000000000003,158.70000000000002,30.647729873657227,157.63009643554688
1933,2003-21,2003102418,30.700000000000003,161.4,30.697965621948242,159.5107879638672
1933,2003-21,2003102500,30.0,163.60000000000002,30.421581268310547,160.87403869628906
1933,2003-21,2003102506,28.6,165.5,30.64703941345215,163.55355834960938
1933,2003-21,2003102512,27.6,167.20000000000002,29.848215103149414,165.6049346923828
1933,2003-21,2003102518,26.400000000000002,168.5,28.14958953857422,168.2113494873047
1933,2003-21,2003102600,25.3,169.70000000000002,26.24016761779785,168.5196075439453
1933,2003-21,2003102606,24.0,169.5,24.394060134887695,168.70367431640625
1933,2003-21,2003102612,23.1,168.8,24.305086135864258,167.51600646972656
1933,2003-21,2003102618,22.3,167.5,23.933866500854492,167.30491638183594
1933,2003-21,2003102700,22.3,166.0,23.430654525756836,167.46780395507812
1933,2003-21,2003102706,22.3,164.5,22.261615753173828,165.21737670898438
1933,2003-21,2003102712,22.1,162.60000000000002,22.36870765686035,163.36061096191406
1933,2003-21,2003102718,22.1,160.4,21.83221435546875,161.33230590820312
1933,2003-21,2003102800,21.900000000000002,158.20000000000002,22.58315086364746,159.27078247070312
1933,2003-21,2003102806,21.8,155.9,22.68906021118164,158.44761657714844
1933,2003-21,2003102812,21.900000000000002,154.0,22.373537063598633,155.8609161376953
1933,2003-21,2003102818,22.6,152.1,22.46977424621582,152.87945556640625
1933,2003-21,2003102900,23.1,150.4,22.797321319580078,150.70159912109375
1933,2003-21,2003102906,23.8,149.4,23.03561019897461,148.64572143554688
1933,2003-21,2003102912,24.8,148.8,24.1075439453125,147.6968536376953
1933,2003-21,2003102918,25.700000000000003,149.20000000000002,25.811279296875,147.2392578125
1933,2003-21,2003103000,26.6,150.20000000000002,26.568689346313477,148.09132385253906
1933,2003-21,2003103006,27.8,151.70000000000002,27.647172927856445,150.20362854003906
1933,2003-21,2003103012,28.900000000000002,154.20000000000002,28.217247009277344,151.4539337158203
1933,2003-21,2003103018,29.6,156.60000000000002,29.968093872070312,155.49586486816406
1933,2003-21,2003103100,30.5,159.70000000000002,30.71478271484375,158.62184143066406
1933,2003-21,2003103106,31.400000000000002,163.10000000000002,31.95822525024414,161.88365173339844
1933,2003-21,2003103112,32.0,167.0,32.514068603515625,165.71119689941406
1934,2003-22,2003103100,14.5,126.2,12.952949523925781,126.67174530029297
1934,2003-22,2003103106,15.200000000000001,124.80000000000001,14.317256927490234,126.60706329345703
1934,2003-22,2003103112,15.600000000000001,123.80000000000001,14.320905685424805,125.09640502929688
1934,2003-22,2003103118,16.2,122.9,15.06230640411377,123.77978515625
1934,2003-22,2003110100,16.900000000000002,122.5,16.108610153198242,122.55866241455078
1934,2003-22,2003110106,17.5,121.80000000000001,16.912250518798828,120.9538345336914
